407,497,15302,0,55,1,88952
420,510,0,0,55,1,88952
437,527,15302,0,55,1,88952
450,540,0,0,55,1,88952
467,557,15302,0,55,1,88952
480,570,0,0,55,1,88952
497,587,15302,0,55,1,88952
510,600,0,0,55,1,88952
527,617,15302,0,55,1,88952
540,630,0,0,55,1,88952
557,647,15302,0,55,1,88952
570,660,0,0,55,1,88952
587,677,15302,0,55,1,88952
617,707,15302,0,55,1,88952
600,690,0,0,55,1,88952
630,720,0,0,55,1,88952
647,737,15302,0,55,1,88952
677,767,15302,0,55,1,88952
660,750,0,0,55,1,88952
690,780,0,0,55,1,88952
707,797,15302,0,55,1,88952
737,827,15302,0,55,1,88952
720,810,0,0,55,1,88952
767,857,15302,0,55,1,88952
750,840,0,0,55,1,88952
797,887,15302,0,55,1,88952
780,870,0,0,55,1,88952
827,917,15302,0,55,1,88952
810,900,0,0,55,1,88952
840,930,15,2,21,0,34609
850,940,40199,2,21,0,34609
840,930,0,0,55,1,88952
857,947,15302,0,55,1,88952
870,960,15,2,21,0,34609
870,960,0,0,55,1,88952
894,984,6660,1,45,0,73530
880,970,40199,2,21,0,34609
887,977,15302,0,55,1,88952
924,1014,6660,1,45,0,73530
900,990,15,2,21,0,34609
910,1000,40199,2,21,0,34609
917,1007,15302,0,55,1,88952
900,990,0,0,55,1,88952
900,990,2,1,45,0,73530
954,1044,6660,1,45,0,73530
930,1020,15,2,21,0,34609
940,1030,40199,2,21,0,34609
947,1037,15302,0,55,1,88952
930,1020,0,0,55,1,88952
930,1020,2,1,45,0,73530
960,1050,15,2,21,0,34609
970,1060,40199,2,21,0,34609
960,1050,2,1,45,0,73530
984,1074,6660,1,45,0,73530
990,1080,15,2,21,0,34609
1000,1090,40199,2,21,0,34609
990,1080,2,1,45,0,73530
1014,1104,6660,1,45,0,73530
1020,1110,15,2,21,0,34609
1030,1120,40199,2,21,0,34609
1020,1110,2,1,45,0,73530
1044,1134,6660,1,45,0,73530
1050,1140,15,2,21,0,34609
1050,1140,2,1,45,0,73530
1074,1164,6660,1,45,0,73530
1060,1150,40199,2,21,0,34609
1080,1170,15,2,21,0,34609
1080,1170,2,1,45,0,73530
1104,1194,6660,1,45,0,73530
1090,1180,40199,2,21,0,34609
1110,1200,15,2,21,0,34609
1110,1200,2,1,45,0,73530
1134,1224,6660,1,45,0,73530
1120,1210,40199,2,21,0,34609
1140,1230,15,2,21,0,34609
1140,1230,2,1,45,0,73530
1164,1254,6660,1,45,0,73530
1150,1240,40199,2,21,0,34609
1170,1260,15,2,21,0,34609
1170,1260,2,1,45,0,73530
1194,1284,6660,1,45,0,73530
1180,1270,40199,2,21,0,34609
1224,1314,6660,1,45,0,73530
1200,1290,15,2,21,0,34609
1210,1300,40199,2,21,0,34609
1230,1320,15,2,21,0,34609
1200,1290,2,1,45,0,73530
1230,1320,2,1,45,0,73530
1254,1344,6660,1,45,0,73530
1240,1330,40199,2,21,0,34609
1260,1350,15,2,21,0,34609
1260,1350,2,1,45,0,73530
1284,1374,6660,1,45,0,73530
1270,1360,40199,2,21,0,34609
1290,1380,15,2,21,0,34609
1290,1380,2,1,45,0,73530
1314,1404,6660,1,45,0,73530
1300,1390,40199,2,21,0,34609
1320,1410,15,2,21,0,34609
1320,1410,2,1,45,0,73530
1344,1434,6660,1,45,0,73530
1330,1420,40199,2,21,0,34609
1350,1440,15,2,21,0,34609
1360,1450,40199,2,21,0,34609
1350,1440,2,1,45,0,73530
1374,1464,6660,1,45,0,73530
1380,1470,15,2,21,0,34609
1380,1470,2,1,45,0,73530
1404,1494,6660,1,45,0,73530
1390,1480,40199,2,21,0,34609
1410,1500,15,2,21,0,34609
1420,1510,40199,2,21,0,34609
1410,1500,2,1,45,0,73530
1434,1524,6660,1,45,0,73530
